beta,gamma,alpha,l
0.0534983581662435,0.024821274103483282,0.6555521717128503,0.9690159036818705
0.05633420882764814,0.027225217725747576,0.6754002240010254,0.9514528518363607
0.047262181270571045,0.013240351526165883,0.346190219710674,0.491152108744898
0.05121286424639194,0.021685780210674434,0.7827285272844479,0.7224885256804928
0.0517408346778778,0.02239225743920236,0.5734581170672293,0.8843903620736625
0.051255426298671726,0.02065380316500827,0.3580324185971656,0.9716584150429046
0.0482517832884313,0.019579870191087534,0.9906133310815505,0.6367428194392606
0.05434258983552951,0.02606711682728326,0.7227330838735286,0.9434433647783168
0.05052298048409363,0.01892298619095597,0.4326121804800579,0.7483582024471029
0.045414612504302246,0.01349059448731953,0.609432711044383,0.43406688625996925
0.053004586145809156,0.023554577461672794,0.7041434909872804,0.7705004648649264
0.051896434931239514,0.022073636921102324,0.7103107998146289,0.745456242085316
0.04788942254330245,0.018722014195157757,0.799578842648851,0.634645572578695
0.050029048650572214,0.01986416896342935,0.7181360481981666,0.6450651578464317
0.054286837640069335,0.02349690601490797,0.4363033079149542,0.9859354947566968
0.04908426135993511,0.01946821599673351,0.780771502686858,0.5910516153871088
0.04898280058684592,0.012998504118158543,0.16883236480163055,0.7834574682913258
0.05385946824348023,0.024994524090695084,0.6464267755197051,0.8747927188239999
0.05234259658789121,0.022728059220640185,0.4280175137040594,0.9693090641870831
0.04656021860050851,0.0166385650060125,0.6458635420369385,0.5423522709083035
0.050984747588034784,0.021771979847379164,0.7634232848703355,0.6860124876799673
0.05193206851695282,0.022835521333966186,0.6160022998246827,0.8044827163912963
0.04766783687250831,0.015459873887425962,0.4813426169618553,0.5004353091584275
0.050789397290261586,0.02171590168891102,0.7265152287860351,0.7928830693887587
0.050829473601949275,0.02227388451496453,0.8189760229811814,0.7932944492281909
0.047075297632742846,0.01701809496074313,0.8705919469991524,0.5182078348488506
0.05225058339537579,0.020861031504605842,0.3325792016131267,0.9976383254330834
0.04868747206576117,0.01849124033241853,0.4416091479018016,0.7417560020168577
0.049838636354479195,0.021446722947328196,0.9060610040017544,0.7201873262619674
0.051671385531861166,0.02003098157927697,0.4657114533300677,0.7202338708582886
0.04983536979767509,0.014707192555804393,0.20230197246538295,0.7984124561586675
0.05407587387627399,0.024322610560688365,0.5637304601778558,0.9686771604273395
0.05023064044471047,0.020763638642004034,0.8418649917604841,0.680599271355665
0.05306496327463158,0.023218637808215804,0.5408038655989217,0.8031271733387311
0.056539329850125705,0.028686544311419107,0.8858684609711065,0.9890567846319718
0.05184974801957067,0.02110556974420182,0.5544604282617352,0.7661016344754932
0.050660163395171764,0.01966791494245926,0.5618358614528157,0.6928170008162832
0.052049591018738295,0.023644929092190257,0.766381459127557,0.8217998997419341
0.048938593608799465,0.01884928757976969,0.4782530347046121,0.7011945972699699
0.04883038278292078,0.019049910852167687,0.8343495946930163,0.5707871645794923
0.054423394889769376,0.024603784053646653,0.4302423740773438,0.96974821351062
0.04776276980056745,0.019044669425774978,0.9262558994023058,0.6275201011427026
0.05072858622367598,0.0208828757216186,0.43431846576144384,0.8995113483674152
0.04910106651257731,0.01815178151195558,0.629235329577074,0.5663526926254698
0.05551731058503286,0.0238829480018977,0.3635061450146386,0.9659324120001317
